iter	Passed	Remaining
406	5929	8639
407	5940	8620
408	5951	8599
409	5962	8580
410	5974	8562
411	5988	8546
412	5999	8527
413	6010	8507
414	6023	8491
415	6036	8474
416	6048	8456
417	6061	8439
418	6073	8421
419	6084	8402
420	6095	8383
421	6109	8368
422	6122	8351
423	6133	8332
424	6144	8312
425	6154	8292
426	6165	8273
427	6175	8253
428	6186	8234
429	6198	8217
430	6221	8213
431	6233	8196
432	6244	8176
433	6254	8157
434	6266	8138
435	6276	8119
436	6287	8100
437	6298	8081
438	6309	8062
439	6321	8045
440	6335	8031
441	6347	8013
442	6359	7995
443	6373	7981
444	6385	7964
445	6397	7946
446	6410	7930
447	6423	7914
448	6436	7899
449	6449	7883
450	6462	7866
451	6473	7848
452	6483	7828
453	6494	7810
454	6504	7791
455	6515	7772
456	6526	7754
457	6537	7736
458	6548	7718
459	6560	7700
460	6570	7682
461	6581	7664
462	6592	7646
463	6605	7629
464	6616	7611
465	6626	7593
466	6637	7575
467	6653	7563
468	6667	7548
469	6680	7533
470	6692	7516
471	6706	7502
472	6720	7487
473	6735	7474
474	6750	7461
475	6765	7447
476	6780	7434
477	6792	7418
478	6809	7406
479	6823	7392
480	6835	7375
481	6851	7362
482	6864	7347
483	6881	7336
484	6897	7323
485	6907	7305
486	6919	7288
487	6930	7271
488	6940	7253
489	6951	7235
490	6962	7217
491	6973	7200
492	6983	7181
493	6994	7164
494	7004	7146
495	7015	7129
496	7026	7111
497	7037	7093
498	7047	7075
499	7058	7058
500	7069	7041
501	7080	7023
502	7091	7006
503	7102	6989
504	7114	6973
505	7127	6958
506	7141	6944
507	7153	6927
508	7166	6912
509	7179	6898
510	7193	6883
511	7206	6868
512	7218	6852
513	7233	6839
514	7267	6843
515	7280	6829
516	7291	6811
517	7302	6794
518	7312	6777
519	7323	6759
520	7333	6742
521	7343	6724
522	7353	6707
523	7364	6690
524	7375	6672
525	7386	6656
526	7397	6639
527	7408	6622
528	7418	6605
529	7428	6587
530	7439	6570
531	7450	6554
532	7463	6539
533	7474	6522
534	7485	6506
535	7496	6489
536	7506	6472
